CityID,City,CountryID,Country,Latitude,Longitude
1,Buenos Aires,1,Argentina,-34.6036844,-58.3815591
2,Córdoba,1,Argentina,-31.4200833,-64.1887761
3,Mendoza,1,Argentina,-32.8894587,-68.8458386
4,Rosario,1,Argentina,-32.9587022,-60.6930416
5,Belo Horizonte,2,Brazil,-19.919052,-43.9386685
6,Brasília,2,Brazil,-15.7975154,-47.8918874
7,Manaus,2,Brazil,-3.1190275,-60.0217314
8,Rio de Janeiro,2,Brazil,-22.9068467,-43.1728965
9,Salvador,2,Brazil,-12.9777334,-38.501648
10,São Paulo,2,Brazil,-23.5557714,-46.6395571
11,Antofagasta,3,Chile,-23.6509279,-70.3975022
12,Puente Alto,3,Chile,-33.6186082,-70.5906057
13,Santiago,3,Chile,-33.4488897,-70.6692655
14,Bogotá,4,Colombia,4.7109886,-74.072092
15,Cali,4,Colombia,3.4516467,-76.5319854
16,Medellín,4,Colombia,6.2476376,-75.5658153
17,San José,5,Costa Rica,9.9280694,-84.0907246
18,Cabo San Lucas,6,Mexico,22.8905327,-109.9167371
19,Cancun,6,Mexico,21.161908,-86.8515279
20,Guadalajara,6,Mexico,20.6596988,-103.3496092
21,Mexico City,6,Mexico,19.4326077,-99.133208
22,Monterrey,6,Mexico,25.6866142,-100.3161126
23,Puerto Vallarta,6,Mexico,20.653407,-105.2253316
24,Tijuana,6,Mexico,32.5149469,-117.0382471
25,Toluca,6,Mexico,19.2826098,-99.6556653
26,Calgary,7,Canada,51.0447331,-114.0718831
27,Hamilton,7,Canada,43.2557206,-79.8711024
28,Montreal,7,Canada,45.5018869,-73.5673919
29,Ottawa,7,Canada,45.4215296,-75.6971931
30,Quebec,7,Canada,46.8130816,-71.2074596
31,Regina,7,Canada,50.4452112,-104.6188944
32,Toronto,7,Canada,43.653226,-79.3831843
33,Vancouver,7,Canada,49.2827291,-123.1207375
34,Victoria,7,Canada,48.4284207,-123.3656444
35,Winnipeg,7,Canada,49.8954221,-97.1385145
36,Alexandria,8,United States,38.8048355,-77.0469214
37,Anaheim,8,United States,33.8365932,-117.9143012
38,Arlington,8,United States,32.735687,-97.1080656
39,Atlanta,8,United States,33.748752,-84.3876845
40,Aurora,8,United States,39.7294319,-104.8319195
41,Austin,8,United States,30.267153,-97.7430608
42,Baltimore,8,United States,39.2903848,-76.6121893
43,Buffalo,8,United States,42.8864468,-78.8783689
44,Burlington,8,United States,44.4758825,-73.212072
45,Charlotte,8,United States,35.2270869,-80.8431267
46,Chicago,8,United States,41.8781136,-87.6297982
47,Cleveland,8,United States,41.49932,-81.6943605
48,Clinton,8,United States,34.9979453,-78.3233325
49,Columbia,8,United States,34.0007104,-81.0348144
50,Columbus,8,United States,39.9611755,-82.9987942
51,Dallas,8,United States,32.7766642,-96.7969879
52,Denver,8,United States,39.7392358,-104.990251
53,Detroit,8,United States,42.331427,-83.0457538
54,Everett,8,United States,47.9789848,-122.2020794
55,Fort Worth,8,United States,32.7554883,-97.3307658
